title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
Noragami,633,7.96,25,2030378,TV,12,Finished Airing,"Jan 5, 2014 to Mar 23, 2014",Winter 2014,"['Avex Entertainment', 'Dentsu', 'Shochiku', 'Kodansha', 'Movic', 'Ai Addiction', 'Lawson HMV Entertainment', 'A-Sketch']",Funimation,Bones,Manga,"['Action', 'Fantasy']",Mythology,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,32114

Boku no Hero Academia 3rd Season,508,8.06,26,2021708,TV,25,Finished Airing,"Apr 7, 2018 to Sep 29, 2018",Spring 2018,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Funimation,Bones,Manga,[],nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,12743

Shingeki no Kyojin Season 3 Part 2,6,9.06,27,2011955,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",Funimation,Wit Studio,Manga,"['Action', 'Drama']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),53794

Angel Beats!,490,8.07,28,1973753,TV,13,Finished Airing,"Apr 3, 2010 to Jun 26, 2010",Spring 2010,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'CBC Television', 'Movic', 'Visual Arts', 'ASCII Media Works']",Sentai Filmworks,P.A. Works,Original,"['Drama', 'Supernatural']",School,nan,24 min. per ep.,PG-13 - Teens 13 or older,47107

Akame ga Kill!,1827,7.47,29,1948042,TV,24,Finished Airing,"Jul 7, 2014 to Dec 15, 2014",Summer 2014,"['Square Enix', 'TOHO animation']",Sentai Filmworks,White Fox,Manga,"['Action', 'Fantasy']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),27528

Boku dake ga Inai Machi,234,8.31,30,1938390,TV,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",Winter 2016,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one']",Aniplex of America,A-1 Pictures,Manga,"['Mystery', 'Supernatural', 'Suspense']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),45644

Nanatsu no Taizai,1196,7.68,31,1928659,TV,24,Finished Airing,"Oct 5, 2014 to Mar 29, 2015",Fall 2014,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Movic']",Funimation,A-1 Pictures,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,19040

Mirai Nikki (TV),1981,7.43,32,1909357,TV,26,Finished Airing,"Oct 9, 2011 to Apr 15, 2012",Fall 2011,"['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create']",Funimation,asread.,Manga,"['Action', 'Supernatural', 'Suspense']",nan,Shounen,23 min. per ep.,R+ - Mild Nudity,29887

Mob Psycho 100,128,8.49,33,1887785,TV,12,Finished Airing,"Jul 11, 2016 to Sep 27, 2016",Summer 2016,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",Funimation,Bones,manga,"['Action', 'Comedy', 'Supernatural']",Super Power,nan,24 min. per ep.,PG-13 - Teens 13 or older,43621

Sword Art Online II,5538,6.70,34,1860381,TV,24,Finished Airing,"Jul 5, 2014 to Dec 20, 2014",Summer 2014,"['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Games']",Aniplex of America,A-1 Pictures,novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,9147

Ansatsu Kyoushitsu,471,8.09,35,1857118,TV,22,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",Winter 2015,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures', 'Shueisha']",Funimation,Lerche,Manga,"['Action', 'Comedy']",School,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,28120

Ao no Exorcist,1724,7.50,36,1817234,TV,25,Finished Airing,"Apr 17, 2011 to Oct 2, 2011",Spring 2011,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sakura Create', 'Shueisha']",Aniplex of America,A-1 Pictures,Manga,"['Action', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,16481

Haikyuu!!,149,8.44,37,1814316,TV,25,Finished Airing,"Apr 6, 2014 to Sep 21, 2014",Spring 2014,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha', 'Spacey Music Entertainment']",Sentai Filmworks,Production I.G,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,69550

Yakusoku no Neverland,114,8.52,38,1807796,TV,12,Finished Airing,"Jan 10, 2019 to Mar 29, 2019",Winter 2019,"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund']",Aniplex of America,CloverWorks,Manga,"['Mystery', 'Sci-Fi', 'Suspense']",nan,Shounen,22 min. per ep.,R - 17+ (violence & profanity),31816

Kono Subarashii Sekai ni Shukufuku wo!,434,8.12,39,1805426,TV,10,Finished Airing,"Jan 14, 2016 to Mar 17, 2016",Winter 2016,"['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House', 'Kadokawa']",Discotek Media,Studio Deen,novel,"['Adventure', 'Comedy', 'Fantasy']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,42627

