title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
K-On!,814,7.85,140,993204,TV,13,Finished Airing,"Apr 3, 2009 to Jun 26, 2009",Spring 2009,"['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']",Bandai Entertainment,Kyoto Animation,manga,[],nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,22794

Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,314,8.22,141,987964,TV,13,Finished Airing,"Apr 3, 2015 to Jun 26, 2015",Spring 2015,"['TBS', 'Marvelous AQL', 'NBCUniversal Entertainment Japan']",Sentai Filmworks,feel.,novel,"['Comedy', 'Romance']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,15580

Magi: The Labyrinth of Magic,559,8.02,142,985045,TV,25,Finished Airing,"Oct 7, 2012 to Mar 31, 2013",Fall 2012,"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Movic', 'GYAO!']",Aniplex of America,A-1 Pictures,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,8861

Tonari no Totoro,293,8.25,143,977738,Movie,1,Finished Airing,"Apr 16, 1988",nan,"['Studio Fantasia', 'Streamline Pictures']",Disney Platform Distribution,Studio Ghibli,Original,"['Adventure', 'Award Winning', 'Supernatural']",nan,nan,1 hr. 26 min.,G - All Ages,7697

Date A Live,3264,7.17,144,968733,TV,12,Finished Airing,"Apr 6, 2013 to Jun 22, 2013",Spring 2013,"['AIC', 'Kadokawa Shoten', 'AT-X', 'Nippon Columbia', 'Fujimi Shobo']",Funimation,AIC PLUS+,novel,"['Comedy', 'Romance', 'Sci-Fi']",nan,nan,25 min. per ep.,R - 17+ (violence & profanity),9318

Golden Time,1044,7.74,145,963847,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014",Fall 2013,"['Genco', 'Starchild Records']",Sentai Filmworks,J.C.Staff,novel,"['Comedy', 'Drama', 'Romance']",Love Polygon,nan,24 min. per ep.,PG-13 - Teens 13 or older,12364

ReLIFE,606,7.98,146,963244,TV,13,Finished Airing,"Jul 2, 2016 to Sep 24, 2016",Summer 2016,"['Aniplex', 'Half H.P Studio', 'comico', 'Hakuhodo DY Media Partners', 'Lawson', 'C & I entertainment', 'TMS Music']",Funimation,TMS Entertainment,manga,"['Drama', 'Romance']",School,nan,23 min. per ep.,PG-13 - Teens 13 or older,9493

Dragon Ball,628,7.96,147,963016,TV,153,Finished Airing,"Feb 26, 1986 to Apr 12, 1989",Winter 1986,['Fuji TV'],Funimation,Toei Animation,Manga,"['Adventure', 'Comedy', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,14474

Sword Art Online: Alicization,1509,7.56,148,961395,TV,24,Finished Airing,"Oct 7, 2018 to Mar 31, 2019",Fall 2018,"['Aniplex', 'Genco', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa']",Aniplex of America,A-1 Pictures,novel,"['Action', 'Adventure', 'Fantasy']",Video Game,nan,24 min. per ep.,R - 17+ (violence & profanity),6919

Monster,25,8.85,149,951381,TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']",VIZ Media,Madhouse,Manga,"['Drama', 'Mystery', 'Suspense']",nan,Seinen,24 min. per ep.,R+ - Mild Nudity,43693

Prison School,1368,7.61,150,942629,TV,12,Finished Airing,"Jul 11, 2015 to Sep 26, 2015",Summer 2015,"['Genco', 'Kodansha', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'Showgate']",Funimation,J.C.Staff,Manga,"['Comedy', 'Romance', 'Ecchi']",nan,Seinen,24 min. per ep.,R+ - Mild Nudity,6938

Overlord II,990,7.76,151,936092,TV,13,Finished Airing,"Jan 9, 2018 to Apr 3, 2018",Winter 2018,"['AT-X', 'Enterbrain', 'Grooove', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",Funimation,Madhouse,novel,"['Action', 'Adventure', 'Fantasy']",Isekai,nan,23 min. per ep.,R - 17+ (violence & profanity),4244

Black Lagoon,540,8.03,152,930827,TV,12,Finished Airing,"Apr 9, 2006 to Jun 25, 2006",Spring 2006,"['Geneon Universal Entertainment', 'Shogakukan']",Funimation,Madhouse,Manga,[],nan,Seinen,24 min. per ep.,R - 17+ (violence & profanity),17051

Fairy Tail (2014),1234,7.66,153,930790,TV,102,Finished Airing,"Apr 5, 2014 to Mar 26, 2016",Spring 2014,"['TV Tokyo', 'Dentsu']",Funimation,A-1 Pictures,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,11704

JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,85,8.58,154,918633,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,"['Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']",VIZ Media,David Production,Manga,"['Action', 'Adventure', 'Supernatural']",Organized Crime,Shounen,23 min. per ep.,R - 17+ (violence & profanity),29450

Shokugeki no Souma: San no Sara,561,8.02,155,914001,TV,12,Finished Airing,"Oct 4, 2017 to Dec 20, 2017",Fall 2017,"['Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha']",Sentai Filmworks,J.C.Staff,Manga,"['Gourmet', 'Ecchi']",School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,2614

Dr. Stone: Stone Wars,371,8.18,156,909471,TV,11,Finished Airing,"Jan 14, 2021 to Mar 25, 2021",Winter 2021,"['TOHO animation', 'Shueisha', 'Toho Music', '8PAN']",Funimation,TMS Entertainment,Manga,"['Adventure', 'Comedy', 'Sci-Fi']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,6951

Fate/stay night,2646,7.28,157,899345,TV,24,Finished Airing,"Jan 7, 2006 to Jun 17, 2006",Winter 2006,"['Geneon Universal Entertainment', 'Frontier Works', 'TBS', 'KlockWorx', 'Notes']",Sentai Filmworks,Studio Deen,novel,"['Action', 'Fantasy', 'Romance', 'Supernatural']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),7101

Darker than Black: Kuro no Keiyakusha,491,8.07,158,897903,TV,25,Finished Airing,"Apr 6, 2007 to Sep 28, 2007",Spring 2007,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Myrica Music']",Funimation,Bones,Original,"['Action', 'Mystery', 'Sci-Fi']",Super Power,nan,24 min. per ep.,R - 17+ (violence & profanity),16234

Wotaku ni Koi wa Muzukashii,665,7.94,159,891755,TV,11,Finished Airing,"Apr 13, 2018 to Jun 22, 2018",Spring 2018,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Ichijinsha', 'Kanetsu Investment', 'Christmas Holly']",add some,A-1 Pictures,manga,[],nan,nan,22 min. per ep.,PG-13 - Teens 13 or older,10696

Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,2958,7.22,160,889038,TV,13,Finished Airing,"Jul 5, 2013 to Sep 27, 2013",Summer 2013,"['Geneon Universal Entertainment', 'Studio Hibari', 'Mainichi Broadcasting System', 'Showgate']",Funimation,Lerche,novel,"['Horror', 'Mystery']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),8061

Byousoku 5 Centimeter,1455,7.58,161,887851,Movie,3,Finished Airing,"Mar 3, 2007",nan,['add some'],ADV Films,CoMix Wave Films,Original,"['Drama', 'Romance']",nan,nan,22 min. per ep.,PG-13 - Teens 13 or older,10546

"Kanojo, Okarishimasu",3495,7.12,162,886755,TV,12,Finished Airing,"Jul 11, 2020 to Sep 26, 2020",Summer 2020,"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures', 'DMM Music']",add some,TMS Entertainment,Manga,"['Comedy', 'Romance']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,8021

Rakudai Kishi no Cavalry,1910,7.45,163,884579,TV,12,Finished Airing,"Oct 3, 2015 to Dec 19, 2015",Fall 2015,"['Frontier Works', 'Media Factory', 'AT-X', 'flying DOG', 'Hakuhodo DY Music & Pictures', 'Animatic', 'SB Creative']",Sentai Filmworks,SILVER LINK.,novel,"['Action', 'Fantasy', 'Romance', 'Ecchi']",School,nan,23 min. per ep.,R - 17+ (violence & profanity),8352

Tenki no Ko,242,8.30,164,882686,Movie,1,Finished Airing,"Jul 19, 2019",nan,"['Toho', 'Lawson HMV Entertainment', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting', 'STORY', 'Lawson Entertainment']",GKIDS,CoMix Wave Films,Original,"['Award Winning', 'Drama', 'Fantasy', 'Romance']",nan,nan,1 hr. 52 min.,PG-13 - Teens 13 or older,11211

Plastic Memories,714,7.91,165,880843,TV,13,Finished Airing,"Apr 5, 2015 to Jun 28, 2015",Spring 2015,"['Aniplex', 'Movic', 'AT-X', 'ASCII Media Works', 'Bushiroad', 'MAGES.', 'Asahi Broadcasting', 'BS11']",Aniplex of America,Doga Kobo,Original,"['Drama', 'Romance', 'Sci-Fi']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,11262

Black Bullet,3576,7.10,166,879510,TV,13,Finished Airing,"Apr 8, 2014 to Jul 1, 2014",Spring 2014,"['Geneon Universal Entertainment', 'AT-X', 'Showgate', 'NBCUniversal Entertainment Japan']",Sentai Filmworks,Kinema Citrus,novel,"['Action', 'Mystery', 'Sci-Fi']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),3677

Gekkan Shoujo Nozaki-kun,841,7.84,167,877556,TV,12,Finished Airing,"Jul 7, 2014 to Sep 22, 2014",Summer 2014,"['TV Tokyo', 'Frontier Works', 'Media Factory', 'AT-X', 'Sony Music Communications']",Sentai Filmworks,Doga Kobo,manga,"['Comedy', 'Romance']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,10633

Suzumiya Haruhi no Yuuutsu,866,7.83,168,874737,TV,14,Finished Airing,"Apr 3, 2006 to Jul 3, 2006",Spring 2006,"['Lantis', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx']",Funimation,Kyoto Animation,novel,"['Award Winning', 'Comedy', 'Mystery', 'Sci-Fi', 'Slice of Life']",School,nan,23 min. per ep.,PG-13 - Teens 13 or older,14761

High School DxD New,1795,7.48,169,865709,TV,12,Finished Airing,"Jul 7, 2013 to Sep 22, 2013",Summer 2013,"['Genco', 'AT-X', 'Fujimi Shobo']",Funimation,TNK,novel,"['Action', 'Comedy', 'Romance', 'Ecchi']",nan,nan,26 min. per ep.,R+ - Mild Nudity,4439

Hellsing Ultimate,198,8.36,170,865306,OVA,10,Finished Airing,"Feb 10, 2006 to Dec 26, 2012",nan,"['Geneon Universal Entertainment', 'StudioRF Inc.', 'Shounen Gahousha']",Funimation,Madhouse,Manga,"['Action', 'Horror', 'Supernatural']",nan,Seinen,49 min. per ep.,R - 17+ (violence & profanity),20480

Baccano!,186,8.37,171,862749,TV,13,Finished Airing,"Jul 27, 2007 to Nov 2, 2007",Summer 2007,"['Aniplex', 'Sakura Create', 'Happinet Pictures']",Funimation,Brain's Base,novel,"['Action', 'Comedy', 'Mystery', 'Supernatural']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),22721

Sono Bisque Doll wa Koi wo Suru,274,8.27,172,862060,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Winter 2022,"['Aniplex', 'Square Enix', 'Movic', 'Studio Mausu', 'Tokyo MX', 'BS11']",add some,CloverWorks,Manga,"['Romance', 'Slice of Life']",nan,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,17806

Ao Haru Ride,1285,7.64,173,860391,TV,12,Finished Airing,"Jul 8, 2014 to Sep 23, 2014",Summer 2014,"['Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha', 'BS11', 'Animatic', 'Hakuhodo DY Media Partners', 'Sony PCL']",Sentai Filmworks,Production I.G,Manga,[],School,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,9782

Kimi ni Todoke,587,8.00,174,859397,TV,25,Finished Airing,"Oct 7, 2009 to Mar 31, 2010",Fall 2009,"['VAP', 'Nippon Television Network', 'Shueisha']","NIS America, Inc.",Production I.G,Manga,"['Drama', 'Romance']",School,Shoujo,22 min. per ep.,PG-13 - Teens 13 or older,12351

Yakusoku no Neverland 2nd Season,12175,5.32,175,856573,TV,11,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",Winter 2021,"['Aniplex', 'Shueisha']",Aniplex of America,CloverWorks,Manga,"['Sci-Fi', 'Suspense']",nan,Shounen,22 min. per ep.,R - 17+ (violence & profanity),4500

5-toubun no Hanayome,1215,7.67,176,856292,TV,12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,"['Pony Canyon', 'Kodansha', 'ZERO-A', 'GYAO!']",Funimation,Tezuka Productions,Manga,"['Comedy', 'Romance']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,12914

Kimi no Suizou wo Tabetai,97,8.56,177,853722,Movie,1,Finished Airing,"Sep 1, 2018",nan,"['Aniplex', 'ABC Animation']",Aniplex of America,Studio VOLN,Novel,"['Drama', 'Romance']",School,nan,1 hr. 48 min.,PG-13 - Teens 13 or older,18749

Neon Genesis Evangelion: The End of Evangelion,101,8.55,178,848626,Movie,1,Finished Airing,"Jul 19, 1997",nan,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']",GKIDS,Gainax,Original,"['Avant Garde', 'Drama', 'Sci-Fi']",nan,nan,1 hr. 26 min.,R+ - Mild Nudity,26285

Haikyuu!! To the Top,197,8.36,179,843820,TV,13,Finished Airing,"Jan 11, 2020 to Apr 4, 2020",Winter 2020,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Sentai Filmworks,Production I.G,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,4941

Kami no Tou,1529,7.56,180,839263,TV,13,Finished Airing,"Apr 2, 2020 to Jun 25, 2020",Spring 2020,"['Sega', 'Rialto Entertainment', 'Sola Entertainment', 'Naver Webtoons', 'IRMA LA DOUCE']",VIZ Media,Telecom Animation Film,manga,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,6025

Youjo Senki,625,7.97,181,839055,TV,12,Finished Airing,"Jan 6, 2017 to Mar 31, 2017",Winter 2017,"['Media Factory', 'AT-X', 'Enterbrain', 'Sony Music Communications']",Funimation,Nut,novel,"['Action', 'Fantasy']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),11316

Mahoutsukai no Yome,504,8.06,182,837210,TV,24,Finished Airing,"Oct 8, 2017 to Mar 25, 2018",Fall 2017,"['Production I.G', 'Shochiku', 'flying DOG', 'Mag Garden']",Funimation,Wit Studio,Manga,"['Fantasy', 'Supernatural']",Mythology,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,10870

Nichijou,139,8.46,183,830158,TV,26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",Spring 2011,"['Lantis', 'Kadokawa Shoten', 'Movic', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Animation Do']",Funimation,Kyoto Animation,Manga,[],nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,21993

Yuri!!! on Ice,735,7.90,184,829022,TV,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016",Fall 2016,"['Dentsu', 'TV Asahi', 'Movic', 'Avex Pictures', 'CIC', 'Cygames']",Funimation,MAPPA,Original,"['Award Winning', 'Sports']",Performing Arts,nan,23 min. per ep.,PG-13 - Teens 13 or older,19853

The God of High School,3755,7.07,185,828920,TV,13,Finished Airing,"Jul 6, 2020 to Sep 28, 2020",Summer 2020,"['Crunchyroll', 'Sola Entertainment', 'Naver Webtoons']",VIZ Media,MAPPA,manga,"['Action', 'Fantasy']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,3954

Tensei shitara Slime Datta Ken 2nd Season,180,8.39,186,828687,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Winter 2021,['Kodansha'],Funimation,8bit,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,10096

Overlord III,693,7.92,187,823961,TV,13,Finished Airing,"Jul 10, 2018 to Oct 2, 2018",Summer 2018,"['AT-X', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",Funimation,Madhouse,novel,"['Action', 'Adventure', 'Fantasy']",Isekai,nan,23 min. per ep.,R - 17+ (violence & profanity),5185

Kekkai Sensen,1388,7.60,188,821356,TV,12,Finished Airing,"Apr 5, 2015 to Oct 4, 2015",Spring 2015,"['Nihon Ad Systems', 'Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', ""Toy's Factory"", 'Sony PCL']",Funimation,Bones,Manga,"['Action', 'Comedy', 'Fantasy', 'Supernatural']",nan,Shounen,26 min. per ep.,R - 17+ (violence & profanity),7413

Btooom!,2542,7.30,189,818235,TV,12,Finished Airing,"Oct 4, 2012 to Dec 20, 2012",Fall 2012,"['Sotsu', 'KlockWorx', 'flying DOG', 'Showgate']",Sentai Filmworks,Madhouse,Manga,"['Action', 'Sci-Fi']",nan,Seinen,24 min. per ep.,R - 17+ (violence & profanity),3322

No Game No Life: Zero,326,8.21,190,810979,Movie,1,Finished Airing,"Jul 15, 2017",nan,"['Frontier Works', 'Movic', 'AT-X', 'Kadokawa']",Sentai Filmworks,Madhouse,novel,"['Drama', 'Fantasy', 'Romance']",Isekai,nan,1 hr. 46 min.,PG-13 - Teens 13 or older,7445

Steins;Gate 0,119,8.52,191,806603,TV,23,Finished Airing,"Apr 12, 2018 to Sep 27, 2018",Spring 2018,"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic']",Funimation,White Fox,novel,"['Drama', 'Sci-Fi', 'Suspense']",Time Travel,nan,23 min. per ep.,PG-13 - Teens 13 or older,11125

Boruto: Naruto Next Generations,10707,5.72,192,804430,TV,Unknown,Currently Airing,"Apr 5, 2017 to ?",Spring 2017,"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",VIZ Media,Pierrot,Manga,"['Action', 'Adventure', 'Fantasy']",Martial Arts,Shounen,23 min.,PG-13 - Teens 13 or older,6807

Fate/stay night: Unlimited Blade Works 2nd Season,221,8.32,193,802171,TV,13,Finished Airing,"Apr 5, 2015 to Jun 28, 2015",Spring 2015,"['Aniplex', 'Notes']",Aniplex of America,ufotable,novel,"['Action', 'Fantasy', 'Supernatural']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),8942

Kotonoha no Niwa,716,7.90,194,801001,Movie,1,Finished Airing,"May 31, 2013",nan,"['The Answer Studio', 'TOHO animation']",Sentai Filmworks,CoMix Wave Films,Original,"['Award Winning', 'Drama', 'Romance']",Visual Arts,nan,46 min.,PG-13 - Teens 13 or older,6628

Kuroko no Basket 2nd Season,316,8.22,195,799045,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11']",add some,Production I.G,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,4275

Magi: The Kingdom of Magic,318,8.22,196,798624,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Movic', 'GYAO!']",Aniplex of America,A-1 Pictures,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,7540

Tokyo Ghoul:re 2nd Season,7108,6.42,197,797313,TV,12,Finished Airing,"Oct 9, 2018 to Dec 25, 2018",Fall 2018,"['Marvelous', 'TC Entertainment', 'Shueisha']",Funimation,Pierrot,Manga,"['Action', 'Fantasy', 'Horror']",nan,Seinen,24 min. per ep.,R - 17+ (violence & profanity),2622

Masamune-kun no Revenge,5287,6.74,198,794876,TV,12,Finished Airing,"Jan 5, 2017 to Mar 23, 2017",Winter 2017,"['Sotsu', 'Lantis', 'AT-X', 'KlockWorx', 'BS Fuji', 'Tokyo MX', 'Ichijinsha', 'FuRyu', 'Crunchyroll SC Anime Fund']",Funimation,SILVER LINK.,Manga,"['Comedy', 'Romance']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3022

Kokoro Connect,988,7.76,199,794437,TV,13,Finished Airing,"Jul 8, 2012 to Sep 30, 2012",Summer 2012,"['Starchild Records', 'Enterbrain']",Sentai Filmworks,SILVER LINK.,novel,"['Drama', 'Romance', 'Supernatural']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,7779

Trinity Seven,3758,7.07,200,793230,TV,12,Finished Airing,"Oct 8, 2014 to Dec 24, 2014",Fall 2014,"['TV Tokyo', 'Sotsu', 'Kadokawa Shoten', 'AT-X', 'Studio Mausu', 'Avex Pictures', 'Q-Tec', 'Docomo Anime Store', 'DeNA']",Sentai Filmworks,Seven Arcs Pictures,Manga,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3712

Akatsuki no Yona,538,8.03,201,792813,TV,24,Finished Airing,"Oct 7, 2014 to Mar 24, 2015",Fall 2014,"['VAP', 'Hakusensha', 'AT-X', 'Delfi Sound', 'Marvelous AQL', 'Tokyo MX', 'Age Global Networks', 'Docomo Anime Store', 'Top-Insight International']",Funimation,Pierrot,Manga,"['Action', 'Adventure', 'Fantasy', 'Romance']",nan,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,15105

Beastars,804,7.85,202,783073,TV,12,Finished Airing,"Oct 10, 2019 to Dec 26, 2019",Fall 2019,"['Movic', 'Fuji TV', 'Bandai', 'Toho', 'BS Fuji', 'TOHO animation', 'Q-Tec', 'Akita Shoten', 'Hakuhodo DY Media Partners', 'Bandai Spirits', 'Toho Music']",add some,Orange,Manga,"['Drama', 'Slice of Life']",nan,Shounen,22 min. per ep.,R - 17+ (violence & profanity),9278

Zero no Tsukaima,2835,7.24,203,780502,TV,13,Finished Airing,"Jul 3, 2006 to Sep 25, 2006",Summer 2006,"['Genco', 'Media Factory', 'Shochiku', 'Bushiroad', 'Happinet Pictures']",Sentai Filmworks,J.C.Staff,novel,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,7767

Banana Fish,130,8.49,204,779219,TV,24,Finished Airing,"Jul 6, 2018 to Dec 21, 2018",Summer 2018,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shogakukan']",add some,MAPPA,Manga,"['Action', 'Adventure', 'Drama', 'Suspense']",nan,Shoujo,22 min. per ep.,R - 17+ (violence & profanity),28138

Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,140,8.46,205,777727,TV,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021",Winter 2021,"['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']",add some,White Fox,novel,"['Drama', 'Fantasy', 'Suspense']",nan,nan,29 min. per ep.,R - 17+ (violence & profanity),11559

Akira,387,8.16,206,776640,Movie,1,Finished Airing,"Jul 16, 1988",nan,"['Mainichi Broadcasting System', 'Kodansha', 'Toho', 'Streamline Pictures']",Funimation,Tokyo Movie Shinsha,Manga,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']",nan,Seinen,2 hr. 4 min.,R+ - Mild Nudity,12449

Mushishi,60,8.67,207,775937,TV,26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,"['Avex Entertainment', 'Marvelous', 'SKY Perfect Well Think', 'Delfi Sound']",Funimation,Artland,Manga,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",nan,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,25512

Toaru Majutsu no Index,2285,7.36,208,774461,TV,24,Finished Airing,"Oct 5, 2008 to Mar 19, 2009",Fall 2008,"['Geneon Universal Entertainment', 'Square Enix', 'AT-X', 'ASCII Media Works', 'Kadokawa Contents Gate']",Funimation,J.C.Staff,novel,"['Action', 'Sci-Fi']",Super Power,nan,23 min. per ep.,R - 17+ (violence & profanity),5388

Boku wa Tomodachi ga Sukunai,3261,7.17,209,774493,TV,12,Finished Airing,"Oct 7, 2011 to Dec 23, 2011",Fall 2011,"['AIC', 'Media Factory', 'TBS', 'Bushiroad', 'Bandai Namco Games', 'Good Smile Company']",Funimation,AIC Build,novel,"['Comedy', 'Romance', 'Ecchi']",nan,nan,24 min. per ep.,R+ - Mild Nudity,3722

Danshi Koukousei no Nichijou,297,8.24,210,773485,TV,12,Finished Airing,"Jan 10, 2012 to Mar 27, 2012",Winter 2012,"['TV Tokyo', 'Square Enix', 'Trinity Sound', 'Happinet Pictures']","NIS America, Inc.",Sunrise,manga,[],nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,13551

Fumetsu no Anata e,187,8.37,211,773344,TV,20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",Spring 2021,"['NHK', 'Kodansha', 'NHK Enterprises']",add some,Brain's Base,Manga,"['Adventure', 'Drama', 'Supernatural']",nan,Shounen,25 min. per ep.,R - 17+ (violence & profanity),13064

Hotarubi no Mori e,253,8.29,212,771652,Movie,1,Finished Airing,"Sep 17, 2011",nan,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha', 'DAX Production']",add some,Brain's Base,Manga,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",nan,Shoujo,45 min.,G - All Ages,9870

Ookami to Koushinryou,306,8.23,213,770704,TV,13,Finished Airing,"Jan 9, 2008 to Mar 26, 2008",Winter 2008,"['Victor Entertainment', 'Pony Canyon', 'Movic', 'Kadokawa Pictures Japan']",Funimation,Imagin,novel,"['Adventure', 'Fantasy', 'Romance']",Adult Cast,nan,24 min. per ep.,PG-13 - Teens 13 or older,17365

Orange,1351,7.62,214,769030,TV,13,Finished Airing,"Jul 4, 2016 to Sep 26, 2016",Summer 2016,"['TMS Entertainment', 'DAX Production', 'TOHO animation', 'Lawson', 'ABC Animation', 'MediaLink Entertainment Limited']",Funimation,Telecom Animation Film,Manga,"['Drama', 'Romance', 'Sci-Fi']",nan,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,6533

Great Teacher Onizuka,54,8.69,215,767101,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,"['Aniplex', 'Fuji TV']",Discotek Media,Pierrot,Manga,"['Comedy', 'Drama']",nan,Shounen,25 min. per ep.,R - 17+ (violence & profanity),24618

Ookami Kodomo no Ame to Yuki,88,8.58,216,766947,Movie,1,Finished Airing,"Jul 21, 2012",nan,"['Madhouse', 'VAP', 'Dentsu', 'Yomiuri Telecasting', 'Kadokawa Shoten', 'Toho', 'Hiroshima Television']",Funimation,Studio Chizu,Original,"['Award Winning', 'Fantasy', 'Slice of Life']",Childcare,nan,1 hr. 57 min.,G - All Ages,10911

